dataset,dataset_full_name,dataset_link,c_source,c_programme,c_modality,c_obs_type,c_protocol,c_platform,c_workflow,c_cn_type,c_raw_cn_scale,c_raw_locus_type,c_reference,c_cancer_type,c_cancer_type_full_name,n_sample_num,n_cell_num,n_spot_num,n_after_qc_ratio,c_usage_permission
TCGA-LGG,Brain Lower Grade Glioma,https://portal.gdc.cancer.gov/projects/TCGA-LGG,GDC Portal,TCGA,bulkDNA,sample,"Genotyping Array,WGS","Affymetrix SNP 6.0,Illumina","ASCAT2,ASCAT3,AscatNGS",Bin Integer,ACN estimate,segment-level BED,hg38,GBM,Brain Lower Grade Glioma,516,NA,NA,NA,Open Access
TCGA-LIHC,Liver Hepatocellular Carcinoma,https://portal.gdc.cancer.gov/projects/TCGA-LIHC,GDC Portal,TCGA,bulkDNA,sample,"Genotyping Array,WGS","Affymetrix SNP 6.0,Illumina","ASCAT2,ASCAT3,AscatNGS",Bin Integer,ACN estimate,segment-level BED,hg38,HCC,Liver Hepatocellular Carcinoma,377,NA,NA,NA,Open Access
TCGA-LUAD,Lung Adenocarcinoma,https://portal.gdc.cancer.gov/projects/TCGA-LUAD,GDC Portal,TCGA,bulkDNA,sample,"Genotyping Array,WGS","Affymetrix SNP 6.0,Illumina","ASCAT2,ASCAT3,AscatNGS",Bin Integer,ACN estimate,segment-level BED,hg38,LUAD,Lung Adenocarcinoma,585,NA,NA,NA,Open Access
TCGA-LUSC,Lung Squamous Cell Carcinoma,https://portal.gdc.cancer.gov/projects/TCGA-LUSC,GDC Portal,TCGA,bulkDNA,sample,"Genotyping Array,WGS","Affymetrix SNP 6.0,Illumina","ASCAT2,ASCAT3,AscatNGS",Bin Integer,ACN estimate,segment-level BED,hg38,LUSC,Lung Squamous Cell Carcinoma,504,NA,NA,NA,Open Access
TCGA-MESO,Mesothelioma,https://portal.gdc.cancer.gov/projects/TCGA-MESO,GDC Portal,TCGA,bulkDNA,sample,"Genotyping Array,WGS","Affymetrix SNP 6.0,Illumina","ASCAT2,ASCAT3,AscatNGS",Bin Integer,ACN estimate,segment-level BED,hg38,MESO,Mesothelioma,87,NA,NA,NA,Open Access
TCGA-OV,Ovarian Serous Cystadenocarcinoma,https://portal.gdc.cancer.gov/projects/TCGA-OV,GDC Portal,TCGA,bulkDNA,sample,"Genotyping Array,WGS","Affymetrix SNP 6.0,Illumina","ASCAT2,ASCAT3,AscatNGS",Bin Integer,ACN estimate,segment-level BED,hg38,OV,Ovarian Serous Cystadenocarcinoma,608,NA,NA,NA,Open Access
TCGA-PAAD,Pancreatic Adenocarcinoma,https://portal.gdc.cancer.gov/projects/TCGA-PAAD,GDC Portal,TCGA,bulkDNA,sample,"Genotyping Array,WGS","Affymetrix SNP 6.0,Illumina","ASCAT2,ASCAT3,AscatNGS",Bin Integer,ACN estimate,segment-level BED,hg38,PAAD,Pancreatic Adenocarcinoma,185,NA,NA,NA,Open Access
TCGA-PCPG,Pheochromocytoma and Paraganglioma,https://portal.gdc.cancer.gov/projects/TCGA-PCPG,GDC Portal,TCGA,bulkDNA,sample,"Genotyping Array,WGS","Affymetrix SNP 6.0,Illumina","ASCAT2,ASCAT3,AscatNGS",Bin Integer,ACN estimate,segment-level BED,hg38,PCPG,Pheochromocytoma and Paraganglioma,179,NA,NA,NA,Open Access
TCGA-PRAD,Prostate Adenocarcinoma,https://portal.gdc.cancer.gov/projects/TCGA-PRAD,GDC Portal,TCGA,bulkDNA,sample,"Genotyping Array,WGS","Affymetrix SNP 6.0,Illumina","ASCAT2,ASCAT3,AscatNGS",Bin Integer,ACN estimate,segment-level BED,hg38,PRAD,Prostate Adenocarcinoma,500,NA,NA,NA,Open Access
TCGA-READ,Rectum Adenocarcinoma,https://portal.gdc.cancer.gov/projects/TCGA-READ,GDC Portal,TCGA,bulkDNA,sample,Genotyping Array,Affymetrix SNP 6.0,"ASCAT2,ASCAT3",Bin Integer,ACN estimate,segment-level BED,hg38,READ,Rectum Adenocarcinoma,172,NA,NA,NA,Open Access
TCGA-SARC,Sarcoma,https://portal.gdc.cancer.gov/projects/TCGA-SARC,GDC Portal,TCGA,bulkDNA,sample,Genotyping Array,Affymetrix SNP 6.0,"ASCAT2,ASCAT3",Bin Integer,ACN estimate,segment-level BED,hg38,SARC,Sarcoma,261,NA,NA,NA,Open Access
TCGA-SKCM,Skin Cutaneous Melanoma,https://portal.gdc.cancer.gov/projects/TCGA-SKCM,GDC Portal,TCGA,bulkDNA,sample,"Genotyping Array,WGS","Affymetrix SNP 6.0,Illumina","ASCAT2,ASCAT3,AscatNGS",Bin Integer,ACN estimate,segment-level BED,hg38,MEL,Skin Cutaneous Melanoma,470,NA,NA,NA,Open Access
TCGA-STAD,Stomach Adenocarcinoma,https://portal.gdc.cancer.gov/projects/TCGA-STAD,GDC Portal,TCGA,bulkDNA,sample,"Genotyping Array,WGS","Affymetrix SNP 6.0,Illumina","ASCAT2,ASCAT3,AscatNGS",Bin Integer,ACN estimate,segment-level BED,hg38,STAD,Stomach Adenocarcinoma,443,NA,NA,NA,Open Access
TCGA-TGCT,Testicular Germ Cell Tumors,https://portal.gdc.cancer.gov/projects/TCGA-TGCT,GDC Portal,TCGA,bulkDNA,sample,"Genotyping Array,WGS","Affymetrix SNP 6.0,Illumina","ASCAT2,ASCAT3,AscatNGS",Bin Integer,ACN estimate,segment-level BED,hg38,GCT,Testicular Germ Cell Tumors,263,NA,NA,NA,Open Access
TCGA-THCA,Thyroid Carcinoma,https://portal.gdc.cancer.gov/projects/TCGA-THCA,GDC Portal,TCGA,bulkDNA,sample,"Genotyping Array,WGS","Affymetrix SNP 6.0,Illumina","ASCAT2,ASCAT3,AscatNGS",Bin Integer,ACN estimate,segment-level BED,hg38,THCA,Thyroid Carcinoma,507,NA,NA,NA,Open Access
TCGA-THYM,Thymoma,https://portal.gdc.cancer.gov/projects/TCGA-THYM,GDC Portal,TCGA,bulkDNA,sample,"Genotyping Array,WGS","Affymetrix SNP 6.0,Illumina","ASCAT2,ASCAT3,AscatNGS",Bin Integer,ACN estimate,segment-level BED,hg38,THYM,Thymoma,124,NA,NA,NA,Open Access
TCGA-UCEC,Uterine Corpus Endometrial Carcinoma,https://portal.gdc.cancer.gov/projects/TCGA-UCEC,GDC Portal,TCGA,bulkDNA,sample,"Genotyping Array,WGS","Affymetrix SNP 6.0,Illumina","ASCAT2,ASCAT3,AscatNGS",Bin Integer,ACN estimate,segment-level BED,hg38,UCEC,Uterine Corpus Endometrial Carcinoma,560,NA,NA,NA,Open Access
TCGA-UCS,Uterine Carcinosarcoma,https://portal.gdc.cancer.gov/projects/TCGA-UCS,GDC Portal,TCGA,bulkDNA,sample,"Genotyping Array,WGS","Affymetrix SNP 6.0,Illumina","ASCAT2,ASCAT3,AscatNGS",Bin Integer,ACN estimate,segment-level BED,hg38,UCS,Uterine Carcinosarcoma,57,NA,NA,NA,Open Access
TCGA-UVM,Uveal Melanoma,https://portal.gdc.cancer.gov/projects/TCGA-UVM,GDC Portal,TCGA,bulkDNA,sample,"Genotyping Array,WGS","Affymetrix SNP 6.0,Illumina","ASCAT2,ASCAT3,AscatNGS",Bin Integer,ACN estimate,segment-level BED,hg38,UVM,Uveal Melanoma,80,NA,NA,NA,Open Access
MMRF-COMMPASS,Multiple Myeloma CoMMpass Study,https://portal.gdc.cancer.gov/projects/MMRF-COMMPASS,GDC Portal,MMRF,bulkDNA,sample,WGS,Illumina,GATK4 CNV,Bin Log,log2 ratio,segment-level BED,hg38,Multiple Myeloma,Multiple Myeloma CoMMpass Study,995,NA,NA,NA,Open Access
TARGET-ALL-P3,Acute Lymphoblastic Leukemia - Phase III,https://portal.gdc.cancer.gov/projects/TARGET-ALL-P3,GDC Portal,TARGET,bulkDNA,sample,WGS,Illumina,GATK4 CNV,Bin Log,log2 ratio,segment-level BED,hg38,ALL,Acute Lymphoblastic Leukemia - Phase III,191,NA,NA,NA,Open Access
WCDT-MCRPC,Genomic Characterization of Metastatic Castration Resistant Prostate Cancer,https://portal.gdc.cancer.gov/projects/WCDT-MCRPC,GDC Portal,WCDT,bulkDNA,sample,WGS,Illumina,GATK4 CNV,Bin Log,log2 ratio,segment-level BED,hg38,Prostate Cancer,Prostate Cancer,101,NA,NA,NA,Open Access
SRP017032,SRP017032,http://www.hscgd.com/cnv/SRP017032,HSCGD,NCBI SRA,scDNA,cell,WGS,AB 5500 Genetic Analyzer,Ginkgo,Bin Integer,ACN estimate,bin-level matrices,hg19,COAD,Colon Adenocarcinoma,3,128,NA,NA,Open Access
SRP052627,SRP052627,http://www.hscgd.com/cnv/SRP052627,HSCGD,NCBI SRA,scDNA,cell,WGS,Illumina HiSeq 2000,Ginkgo,Bin Integer,ACN estimate,bin-level matrices,hg19,GBM,Glioblastoma Multiforme,4,163,NA,NA,Open Access
SRP029757,SRP029757,http://www.hscgd.com/cnv/SRP029757,HSCGD,NCBI SRA,scDNA,cell,WGS,Illumina HiSeq 2000,Ginkgo,Bin Integer,ACN estimate,bin-level matrices,hg19,Mixed,Mixed,11,153,NA,NA,Open Access
SRP002535,SRP002535,http://www.hscgd.com/cnv/SRP002535,HSCGD,NCBI SRA,scDNA,cell,WGS,Illumina Genome Analyzer II,Ginkgo,Bin Integer,ACN estimate,bin-level matrices,hg19,Mixed,Mixed,3,199,NA,NA,Open Access
SRP064210,SRP064210,http://www.hscgd.com/cnv/SRP064210,HSCGD,NCBI SRA,scDNA,cell,WGS,Illumina HiSeq 2500,Ginkgo,Bin Integer,ACN estimate,bin-level matrices,hg19,BRCA,Breast Invasive Carcinoma,14,971,NA,NA,Open Access
SRP052908,SRP052908,http://www.hscgd.com/cnv/SRP052908,HSCGD,NCBI SRA,scDNA,cell,OTHER,Illumina HiSeq 2500,Ginkgo,Bin Integer,ACN estimate,bin-level matrices,hg19,CRC,Colorectal Cancer,46,66,NA,NA,Open Access
SRP050588,SRP050588,http://www.hscgd.com/cnv/SRP050588,HSCGD,NCBI SRA,scDNA,cell,WGS,Illumina HiSeq 2500,Ginkgo,Bin Integer,ACN estimate,bin-level matrices,hg19,STAD,Stomach Adenocarcinoma,42,68,NA,NA,Open Access
SRP013572,SRP013572,http://www.hscgd.com/cnv/SRP013572,HSCGD,NCBI SRA,scDNA,cell,WGS,Illumina HiSeq 2000,Ginkgo,Bin Integer,ACN estimate,bin-level matrices,hg19,BRCA,Breast Invasive Carcinoma,4,282,NA,NA,Open Access
SRP055057,SRP055057,http://www.hscgd.com/cnv/SRP055057,HSCGD,NCBI SRA,scDNA,cell,WGS,Illumina HiSeq 2000,Ginkgo,Bin Integer,ACN estimate,bin-level matrices,hg19,BRCA,Breast Invasive Carcinoma,9,419,NA,NA,Open Access
SRP127755,SRP127755,http://www.hscgd.com/cnv/SRP127755,HSCGD,NCBI SRA,scDNA,cell,WGS,HiSeq X Ten,Ginkgo,Bin Integer,ACN estimate,bin-level matrices,hg19,PRAD,Prostate Adenocarcinoma,1,21,NA,NA,Open Access
SRP093555,SRP093555,http://www.hscgd.com/cnv/SRP093555,HSCGD,NCBI SRA,scDNA,cell,WGS,HiSeq X Ten,Ginkgo,Bin Integer,ACN estimate,bin-level matrices,hg19,COAD,Colon Adenocarcinoma,1,98,NA,NA,Open Access
SRP074289,SRP074289,http://www.hscgd.com/cnv/SRP074289,HSCGD,NCBI SRA,scDNA,cell,OTHER,Illumina HiSeq 2500,Ginkgo,Bin Integer,ACN estimate,bin-level matrices,hg19,COAD,Colon Adenocarcinoma,2,470,NA,NA,Open Access
SRP058890,SRP058890,http://www.hscgd.com/cnv/SRP058890,HSCGD,NCBI SRA,scDNA,cell,OTHER,Illumina HiSeq 2000,Ginkgo,Bin Integer,ACN estimate,bin-level matrices,hg19,BRCA,Breast Invasive Carcinoma,1,47,NA,NA,Open Access
SRP215441,SRP215441,http://www.hscgd.com/cnv/SRP215441,HSCGD,NCBI SRA,scDNA,cell,WGS,Illumina HiSeq 2500,Ginkgo,Bin Integer,ACN estimate,bin-level matrices,hg19,BRCA,Breast Invasive Carcinoma,18,1981,NA,NA,Open Access
SRP222840,SRP222840,http://www.hscgd.com/cnv/SRP222840,HSCGD,NCBI SRA,scDNA,cell,OTHER,Illumina HiSeq 2500,Ginkgo,Bin Integer,ACN estimate,bin-level matrices,hg19,BRCA,Breast Invasive Carcinoma,2,519,NA,NA,Open Access
SRP116771,SRP116771,http://www.hscgd.com/cnv/SRP116771,HSCGD,NCBI SRA,scDNA,cell,OTHER,Illumina HiSeq 2000,Ginkgo,Bin Integer,ACN estimate,bin-level matrices,hg19,BRCA,Breast Invasive Carcinoma,10,1981,NA,NA,Open Access
SRP068920,SRP068920,http://www.hscgd.com/cnv/SRP068920,HSCGD,NCBI SRA,scDNA,cell,WGS,Illumina MiSeq,Ginkgo,Bin Integer,ACN estimate,bin-level matrices,hg19,Mixed,Mixed,1,209,NA,NA,Open Access
SRP186739,SRP186739,http://www.hscgd.com/cnv/SRP186739,HSCGD,NCBI SRA,scDNA,cell,WES,Illumina HiSeq 2000,Ginkgo,Bin Integer,ACN estimate,bin-level matrices,hg19,Lung Cancer,Lung Cancer,1,163,NA,NA,Open Access
SRP418207,SRP418207,http://www.hscgd.com/cnv/SRP418207,HSCGD,NCBI SRA,scDNA,cell,WGS,Ion Torrent S5,Ginkgo,Bin Integer,ACN estimate,bin-level matrices,hg19,OV,Ovarian Cancer,1,9,NA,NA,Open Access
SRP408873,SRP408873,http://www.hscgd.com/cnv/SRP408873,HSCGD,NCBI SRA,scDNA,cell,WGS,Illumina NovaSeq 6000,Ginkgo,Bin Integer,ACN estimate,bin-level matrices,hg19,LUAD,Lung Adenocarcinoma,1,39,NA,NA,Open Access
SRP188831,SRP188831,http://www.hscgd.com/cnv/SRP188831,HSCGD,NCBI SRA,scDNA,cell,WGS,Illumina HiSeq 2500,Ginkgo,Bin Integer,ACN estimate,bin-level matrices,hg19,CESC,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,1,67,NA,NA,Open Access
SRP459717,SRP459717,http://www.hscgd.com/cnv/SRP459717,HSCGD,NCBI SRA,scDNA,cell,WGS,Illumina NextSeq 2000,Ginkgo,Bin Integer,ACN estimate,bin-level matrices,hg19,READ,Rectum Adenocarcinoma,1,16,NA,NA,Open Access
GSE109761,GSE109761,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\smartseq2_datasets\breast_cancer\GSE109761/GSE109761_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,Smart-Seq2,Illumina NextSeq 500,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,BRCA,Breast Invasive Carcinoma,28,210,NA,NA,Open Access
GSE118389,GSE118389,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\smartseq2_datasets\breast_cancer\GSE118389/GSE118389_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,Smart-Seq2,Illumina Genome Analyzer,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,BRCA,Breast Invasive Carcinoma,6,1002,NA,NA,Open Access
GSE75688,GSE75688,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\smartseq2_datasets\breast_cancer\GSE75688/GSE75688_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,Smart-Seq2,Illumina HiSeq 2500,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,BRCA,Breast Invasive Carcinoma,14,495,NA,0.93928,Open Access
10x_ST_brca_ffpe,10x_ST_brca_ffpe,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\spatial_data\breast_cancer\Spatial_brca_ffpe_10x/Spatial_brca_ffpe_10x_CNV_mat.csv,scTML,10x Official,spaRNA,spot,10x Visium,llumina NovaSeq,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,BRCA,Breast Invasive Carcinoma,1,NA,2518,NA,Open Access
10x_ST_cervical_cancer_ffpe,10x_ST_cervical_cancer_ffpe,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\spatial_data\cervical_cancer\Spatial_cervical_cancer_ffpe_10x/Spatial_cervical_cancer_ffpe_10x_CNV_mat.csv,scTML,10x Official,spaRNA,spot,10x Visium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,CESC,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,1,NA,2781,NA,Open Access
GSE148345,GSE148345,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\smartseq2_datasets\colorectal_cancer\GSE148345/GSE148345_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,Smart-Seq2,Illumina HiSeq 2500,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,CRC,Colorectal Cancer,1,1075,NA,NA,Open Access
10x_ST_crc_ffpe_11mm,10x_ST_crc_ffpe_11mm,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\spatial_data\colorectal_cancer\Spatial_crc_ffpe_11mm_10x/Spatial_crc_ffpe_11mm_10x_CNV_mat.csv,scTML,10x Official,spaRNA,spot,10x Visium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,CRC,Colorectal Cancer,1,NA,9080,NA,Open Access
10x_ST_crc_ffpe_Xenium,10x_ST_crc_ffpe_Xenium,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\spatial_data\colorectal_cancer\Spatial_crc_ffpe_Xenium_10x/Spatial_crc_ffpe_Xenium_10x_CNV_mat.csv,scTML,10x Official,spaRNA,spot,10x Xenium,Xenium Analyzer ,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,CRC,Colorectal Cancer,1,NA,6518,NA,Open Access
SRP119465,SRP119465,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\smartseq2_datasets\ESCC\SRP119465/SRP119465_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,Smart-Seq2,Illumina HiSeq 4000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,ESCA,Esophageal Cancer,1,229,NA,NA,Open Access
GSE134269,GSE134269,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\smartseq2_datasets\glioma\GSE134269/GSE134269_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,Smart-Seq2,Illumina NextSeq 500,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,GBM,Glioma,2,337,NA,NA,Open Access
GSE164624,GSE164624,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\smartseq2_datasets\glioma\GSE164624/GSE164624_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,Smart-Seq2,Illumina HiSeq 2500,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,GBM,Glioma,6,510,NA,NA,Open Access
GSE84465,GSE84465,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\smartseq2_datasets\glioma\GSE84465/GSE84465_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,Smart-Seq2,Illumina NextSeq 500,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,GBM,Glioma,4,3428,NA,NA,Open Access
10x_ST_gbm_ffpe_11mm,10x_ST_gbm_ffpe_11mm,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\spatial_data\glioma\Spatial_gbm_ffpe_11mm_10x/Spatial_gbm_ffpe_11mm_10x_CNV_mat.csv,scTML,10x Official,spaRNA,spot,10x Visium,Illumina NovaSeq,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,GBM,Glioma,1,NA,10878,NA,Open Access
GSE181300_SRR15324060,GSE181300_SRR15324060,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\spatial_data\head_and_neck_cancer\Spatial_hn_spatial_GSE181300_SRR15324060/Spatial_hn_spatial_GSE181300_SRR15324060_CNV_mat.csv,scTML,NCBI GEO,spaRNA,spot,10x Visium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,HNSC,Head And Nect Squamous Cell Cancer,1,NA,1099,NA,Open Access
GSE181300_SRR15324061,GSE181300_SRR15324061,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\spatial_data\head_and_neck_cancer\Spatial_hn_spatial_GSE181300_SRR15324061/Spatial_hn_spatial_GSE181300_SRR15324061_CNV_mat.csv,scTML,NCBI GEO,spaRNA,spot,10x Visium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,HNSC,Head And Nect Squamous Cell Cancer,1,NA,1880,NA,Open Access
GSE181300_SRR15324062,GSE181300_SRR15324062,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\spatial_data\head_and_neck_cancer\Spatial_hn_spatial_GSE181300_SRR15324062/Spatial_hn_spatial_GSE181300_SRR15324062_CNV_mat.csv,scTML,NCBI GEO,spaRNA,spot,10x Visium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,HNSC,Head And Nect Squamous Cell Cancer,1,NA,1425,NA,Open Access
GSE181300_SRR15324063,GSE181300_SRR15324063,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\spatial_data\head_and_neck_cancer\Spatial_hn_spatial_GSE181300_SRR15324063/Spatial_hn_spatial_GSE181300_SRR15324063_CNV_mat.csv,scTML,NCBI GEO,spaRNA,spot,10x Visium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,HNSC,Head And Nect Squamous Cell Cancer,1,NA,1656,NA,Open Access
GSE181300_SRR15324064,GSE181300_SRR15324064,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\spatial_data\head_and_neck_cancer\Spatial_hn_spatial_GSE181300_SRR15324064/Spatial_hn_spatial_GSE181300_SRR15324064_CNV_mat.csv,scTML,NCBI GEO,spaRNA,spot,10x Visium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,HNSC,Head And Nect Squamous Cell Cancer,1,NA,2232,NA,Open Access
GSE181300_SRR15324065,GSE181300_SRR15324065,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\spatial_data\head_and_neck_cancer\Spatial_hn_spatial_GSE181300_SRR15324065/Spatial_hn_spatial_GSE181300_SRR15324065_CNV_mat.csv,scTML,NCBI GEO,spaRNA,spot,10x Visium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,HNSC,Head And Nect Squamous Cell Cancer,1,NA,1854,NA,Open Access
GSE181300_SRR15324066,GSE181300_SRR15324066,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\spatial_data\head_and_neck_cancer\Spatial_hn_spatial_GSE181300_SRR15324066/Spatial_hn_spatial_GSE181300_SRR15324066_CNV_mat.csv,scTML,NCBI GEO,spaRNA,spot,10x Visium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,HNSC,Head And Nect Squamous Cell Cancer,1,NA,1682,NA,Open Access
GSE181300_SRR15324067,GSE181300_SRR15324067,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\spatial_data\head_and_neck_cancer\Spatial_hn_spatial_GSE181300_SRR15324067/Spatial_hn_spatial_GSE181300_SRR15324067_CNV_mat.csv,scTML,NCBI GEO,spaRNA,spot,10x Visium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,HNSC,Head And Nect Squamous Cell Cancer,1,NA,1126,NA,Open Access
10x_ST_intestine_cancer_ffpe,10x_ST_intestine_cancer_ffpe,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\spatial_data\intestine_cancer\Spatial_intestine_cancer_ffpe_10x/Spatial_intestine_cancer_ffpe_10x_CNV_mat.csv,scTML,10x Official,spaRNA,spot,10x Visium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,CRC,Colorectal Cancer,1,NA,2660,NA,Open Access
GSE154906,GSE154906,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\smartseq2_datasets\liver_cancer\GSE154906/GSE154906_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,Smart-Seq2,Illumina HiSeq 2500,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,LIHC,Liver Hepatocellular Carcinoma,6,352,NA,NA,Open Access
10x_ST_lu_nec_ffpe_11mm,10x_ST_lu_nec_ffpe_11mm,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\spatial_data\lung_cancer\Spatial_lu_nec_ffpe_11mm_10x/Spatial_lu_nec_ffpe_11mm_10x_CNV_mat.csv,scTML,10x Official,spaRNA,spot,10x Visium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,LNEC,Lung Cancer,1,NA,6195,NA,Open Access
10x_ST_lu_scc_ffpe,10x_ST_lu_scc_ffpe,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\spatial_data\lung_cancer\Spatial_lu_scc_ffpe_10x/Spatial_lu_scc_ffpe_10x_CNV_mat.csv,scTML,10x Official,spaRNA,spot,10x Visium,Illumina NovaSeq,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,LUSC,Lung Squamous Cell Cancer,1,NA,3858,NA,Open Access
GSE116237,GSE116237,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\smartseq2_datasets\melanoma\GSE116237/GSE116237_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,Smart-Seq2,Illumina HiSeq 2500?,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,SKCM,Skin Cutaneous Melanoma,3,774,NA,NA,Open Access
10x_ST_mel_ffpe,10x_ST_mel_ffpe,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\spatial_data\melanoma\Spatial_mel_ffpe_10x/Spatial_mel_ffpe_10x_CNV_mat.csv,scTML,10x Official,spaRNA,spot,10x Visium,Illumina NovaSeq,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,SKCM,Skin Cutaneous Melanoma,1,NA,3458,NA,Open Access
GSE106218,GSE106218,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\smartseq2_datasets\multiple_myeloma\GSE106218/GSE106218_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,Smart-Seq2,Illumina HiSeq 2500,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,MM,Multiple Myeloma,10,332,NA,NA,Open Access
GSE117872,GSE117872,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\smartseq2_datasets\OSCC\GSE117872/GSE117872_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,Smart-Seq2,Illumina HiSeq 2500,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OSCC,Oral Squamous Cell Carcinoma,13,1346,NA,NA,Open Access
GSE154600,GSE154600,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\ovarian_cancer\ov_hgs_GSE154600/ov_hgs_GSE154600_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina HiSeq 2500,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OV,Ovarian Cancer,1,21605,NA,NA,Open Access
10x_ST_ov_ffpe,10x_ST_ov_ffpe,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\spatial_data\ovarian_cancer\Spatial_ov_ffpe_10x/Spatial_ov_ffpe_10x_CNV_mat.csv,scTML,10x Official,spaRNA,spot,10x Visium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OV,Ovarian Cancer,1,NA,3455,NA,Open Access
